publishedAt,authorDisplayName,textDisplay,likeCount;;;;;;;;;
"2023-05-08T01:02:10Z,Wahyudi Etkinson,""Saya tim &quot";Jari Putih&quot;", percuma gak ada perubahan sama sekali, dari zaman nahkoda pertama sampai ke 7 indonesia selalu ditekan oleh pihak asing dan gak berani untuk bergerak secara mandiri selalu menjadi negara berkembang, demokrasi sudah mati, hak rakyat diabaikan, para partai hanya mementingkan urusan pribadi, korupsi merajalela, hukuman untuk rakyat atas dan bawah sangat timpang. Pemanfaatan SDA yang di ekploitasi untuk kepentingan suatu pihak, bayar pajak selalu rajin kepada negara tapi justru pajak itu dislewengkan. Ini bukan ajakan, ini hanya opini saya pribadi, saya berusaha berpikir kritis oleh sebab-akibat jangka panjang. Sebelum saya bicara seperti ini saya sudah lakukan riset kepada para capres dan caleg. (Suara adalah HAK bukan KEWAJIBAN)"",0";;;;;;;
"2023-05-08T00:15:18Z,Clowwie ☁︎,""Mak banteng pilih ganjar, <br>Pdip partai  anti islam ,pengajian , rasis.,,<br>Pdip tdk butuh suara umat islam"",0";;;;;;;;;
2023-05-08T00:00:41Z,LANEAZ IRORSA,Calon lebih dari 2 lebih bagus,0;;;;;;;;;
2023-05-07T22:44:33Z,Riski Okta,Airlangga Hartarto?,0;;;;;;;;;
2023-05-07T22:39:53Z,N Meci,Pemimpin muslim dengan ciri Siddiq Tabligh Amanah Fathonah komplit ada pada kepribadian Bapak Anies Rasyid baswedan. Top Markotop.,3;;;;;;;;;
2023-05-08T22:10:47Z,FaizBauketek,WKWKWKWKWK modal bawa agama,0;;;;;;;;;
2023-05-08T14:57:46Z,akuang akuang,😂😂😂,0;;;;;;;;;
"2023-05-07T22:20:34Z,bang jali,""Siapa pun calonya asal jangan yg di usung oleh<br>HTI, PKS, Amin Rais,"",0";;;;;;;;;
2023-05-07T22:09:56Z,Andri Rusdianto,Nunggu info capres lainnya dulu ajalah😌,0;;;;;;;;;
2023-05-07T21:22:28Z,Hansco Fans,GOLPUT ajah khan itu bagian dari demokrasi ....!,0;;;;;;;;;
2023-05-07T20:35:44Z,Bang Kennn,Saya pilih yang punya gagasan masuk akal aja. Cape soalnya denger janji yang gak masuk akal..,0;;;;;;;;;
2023-05-07T19:16:27Z,Novi Noviandi,Sapa aja gak masalah asal jangan Anies / ganjar itu aja,0;;;;;;;;;
2023-05-07T18:52:34Z,Abdul Haris,Makan ongkos bener 🔪,0;;;;;;;;;
2023-05-07T17:46:17Z,Naarra,Mending prabowo sama ganjar,0;;;;;;;;;
2023-05-07T17:06:51Z,Merbau Cell,Prabowo 🔥,0;;;;;;;;;
2023-05-07T16:56:52Z,Fadil Wahyu,Yang penting anti PDI,0;;;;;;;;;
2023-05-07T15:48:11Z,Putuarta sentana,Ganjar pranowo Ri 2024🙏🙏,0;;;;;;;;;
"2023-05-07T14:38:14Z,Teguh Ahmad,""Pak Ganjar = gubernur Jateng 2 periode kader PDIP<br>Pak Prabowo = menteri pertahanan (ketum partai gerindra) <br>Pak Anis = mantan gubernur DKI bersama pak sandiaga uno diusung partai gerindra (partainya Pak Prabowo) <br>kesimpulan Pak prabowo ketua umum bukan bawahan partai, <br>Pak Ganjar &amp";" Pak Anis udah jelas lah.."",0";;;;;;;;
"2023-05-07T14:18:30Z,Amanda Larisa,""Jgn salah pilih lagi, jgn pilih yg cuma pencitraan tapi mimpin daerahnya az ga beres, semoga Pa Anies nanti yg menang"",0";;;;;;;;;
"2023-05-07T14:18:22Z,Hamdani 1987,""Kotak kardus sudah dikunci ma banteng,,triliunan uang sudah disiapkan oleh oligarki dan antek2 nya untuk memuluskan jalan menuju RI 1,,kejadian soal penolakan israel adalah tes ombak buat ganjar,sudah dirancang sedemikian rupa."",0";;;;;;;;;
2023-05-07T13:52:52Z,SiBolang Plat AE,Jangan lupakan yg mematikan microfon,0;;;;;;;;;
2023-05-07T13:41:27Z,bundalika,Kamu nanya?!yandaktaukoknanyasaya😢😂,0;;;;;;;;;
2023-05-07T13:31:04Z,Gombloh Channel,Gasss Prabowo,0;;;;;;;;;
2023-05-07T13:01:11Z,Ade Lolot,Sya Pilih Ahok,0;;;;;;;;;
